id,plane,coordinates,xOffset,yOffset,xPixelsPerMM,yPixelsPerMM
1,coronal,4.28,469,-15,130,130
2,coronal,3.92,469,-15,130,130
3,coronal,3.56,469,-15,130,130
4,coronal,3.08,467,-8,128,128
5,coronal,2.96,467,-8,128,128
6,coronal,2.8,467,-8,128,128
7,coronal,2.68,467,-8,128,128
8,coronal,2.58,467,-8,128,128
9,coronal,2.46,467,-8,128,128
10,coronal,2.34,467,-8,128,128
11,coronal,2.22,467,-8,128,128
12,coronal,2.1,469,37,101,101
13,coronal,1.98,469,37,101,101
14,coronal,1.94,468,84,91,91
15,coronal,1.78,468,84,91,91
16,coronal,1.7,468,84,91,91
17,coronal,1.54,468,84,91,91
18,coronal,1.42,468,84,91,91
19,coronal,1.34,468,84,91,91
20,coronal,1.18,468,84,91,91
21,coronal,1.1,468,84,91,91
22,coronal,0.98,468,84,91,91
23,coronal,0.86,468,84,91,91
24,coronal,0.74,468,84,91,91
25,coronal,0.62,468,84,91,91
26,coronal,0.5,468,84,91,91
27,coronal,0.38,468,84,91,91
28,coronal,0.26,468,84,91,91
29,coronal,0.14,468,84,91,91
30,coronal,0.02,468,84,91,91
31,coronal,-0.1,468,84,91,91
32,coronal,-0.22,468,84,91,91
33,coronal,-0.34,468,84,91,91
34,coronal,-0.46,468,84,91,91
35,coronal,-0.58,468,84,91,91
36,coronal,-0.7,468,84,91,91
37,coronal,-0.82,468,84,91,91
38,coronal,-0.94,468,84,91,91
39,coronal,-1.06,468,84,91,91
40,coronal,-1.22,468,84,91,91
41,coronal,-1.34,468,84,91,91
42,coronal,-1.46,468,84,91,91
43,coronal,-1.58,468,84,91,91
44,coronal,-1.7,468,84,91,91
45,coronal,-1.82,468,84,91,91
46,coronal,-1.94,468,84,91,91
47,coronal,-2.06,468,84,91,91
48,coronal,-2.18,468,84,91,91
49,coronal,-2.3,468,84,91,91
50,coronal,-2.46,468,84,91,91
51,coronal,-2.54,468,84,91,91
52,coronal,-2.7,468,84,91,91
53,coronal,-2.8,468,84,91,91
54,coronal,-2.92,468,84,91,91
55,coronal,-3.08,468,84,91,91
56,coronal,-3.16,468,84,91,91
57,coronal,-3.28,468,84,91,91
58,coronal,-3.4,468,84,91,91
59,coronal,-3.52,468,84,91,91
60,coronal,-3.64,468,84,91,91
61,coronal,-3.8,468,84,91,91
62,coronal,-3.88,468,84,91,91
63,coronal,-4.04,468,84,91,91
64,coronal,-4.16,468,84,91,91
65,coronal,-4.24,468,84,91,91
66,coronal,-4.36,468,84,91,91
67,coronal,-4.48,468,84,91,91
68,coronal,-4.6,468,84,91,91
69,coronal,-4.72,468,84,91,91
70,coronal,-4.84,468,84,91,91
71,coronal,-4.96,468,84,91,91
72,coronal,-5.02,468,84,91,91
73,coronal,-5.2,468,84,91,91
74,coronal,-5.34,468,84,91,91
75,coronal,-5.4,468,84,91,91
76,coronal,-5.52,468,84,91,91
77,coronal,-5.68,468,84,91,91
78,coronal,-5.8,468,84,91,91
79,coronal,-5.88,468,84,91,91
80,coronal,-6,468,84,91,91
81,coronal,-6.12,468,84,91,91
82,coronal,-6.24,468,84,91,91
83,coronal,-6.36,468,-4,113,113
84,coronal,-6.48,468,-4,113,113
85,coronal,-6.64,468,-4,113,113
86,coronal,-6.72,468,-4,113,113
87,coronal,-6.84,468,-4,113,113
88,coronal,-6.96,468,-4,113,113
89,coronal,-7.08,468,-4,113,113
90,coronal,-7.2,468,-4,113,113
91,coronal,-7.32,468,-4,113,113
92,coronal,-7.48,468,-4,113,113
93,coronal,-7.56,468,-4,113,113
94,coronal,-7.64,468,-4,113,113
95,coronal,-7.76,468,-4,113,113
96,coronal,-7.92,468,-4,113,113
97,coronal,-8,468,-4,113,113
98,coronal,-8.12,468,-4,113,113
99,coronal,-8.24,468,-4,113,113
100,sagittal,-0.04,376,68,62,62
101,sagittal,0.12,376,68,62,62
102,sagittal,0.24,376,68,62,62
103,sagittal,0.36,376,68,62,62
104,sagittal,0.48,376,68,62,62
105,sagittal,0.6,376,68,62,62
106,sagittal,0.72,376,68,62,62
107,sagittal,0.84,376,68,62,62
108,sagittal,0.96,376,68,62,62
109,sagittal,1.08,376,68,62,62
110,sagittal,1.2,376,68,62,62
111,sagittal,1.32,376,68,62,62
112,sagittal,1.44,376,68,62,62
113,sagittal,1.56,376,68,62,62
114,sagittal,1.68,376,68,62,62
115,sagittal,1.8,376,68,62,62
116,sagittal,1.92,376,68,62,62
117,sagittal,2.04,376,68,62,62
118,sagittal,2.16,376,68,62,62
119,sagittal,2.28,376,68,62,62
120,sagittal,2.4,376,68,62,62
121,sagittal,2.52,376,68,62,62
122,sagittal,2.64,376,68,62,62
123,sagittal,2.76,376,68,62,62
124,sagittal,2.88,376,68,62,62
125,sagittal,3,376,68,62,62
126,sagittal,3.12,376,68,62,62
127,sagittal,3.25,376,68,62,62
128,sagittal,3.36,376,68,62,62
129,sagittal,3.44,376,68,62,62
130,sagittal,3.6,376,68,62,62
131,sagittal,3.72,376,68,62,62
